UserLanguage,SQ 1 ,SQ 2,SQ 3,SQ 3_16_TEXT,SQ 4 ,SQ 5,Q 1.3,Q 1.4_1,Q 1.4_2,Q 1.4_3,Q 1.4_4,Q 1.4_5,Q 1.4_5_TEXT,Q 1.5,Q 2.1,Q 2.1_1_TEXT,Q 2.1_2_TEXT,Q 2.1_3_TEXT,Q 2.1_4_TEXT,Q 2.2,Q 2.3,Q 2.4,Q 2.5,Q 2.6,Q 2.6_1_TEXT,Q 2.6_2_TEXT,Q 3.2,Q 3.3,Q 3.4,Q 3.4_4_TEXT,Q 3.5,Q 3.5_12_TEXT,Q 3.6,Q 3.6_5_TEXT,Q 3.7,Q 4.1,Q 4.2,Q 4.3,Q 4.3_6_TEXT,Q 4.4,Q 4.4_12_TEXT,Q 4.5,Q 4.5_10_TEXT,Q 4.6,Q 4.7,Q 4.8,Q 4.9_1,Q 4.9_2,Q 4.9_3,Q 4.9_4,Q 4.9_5,Q 4.9_6,Q 4.9_7,Q 4.9_7_TEXT,Q 4.10,Q 4.10_5_TEXT,Q 4.11_1,Q 4.11_2,Q 4.12,Q 4.13,Q 4.13_10_TEXT,Q 4.14,Q 4.14_6_TEXT,Q 4.15,Q 4.15_8_TEXT,,,,,,,,psid
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Fast food and quick-service restaurants,,Front Line Management,Yes,More than 5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)",,,No,Squared meters,,,,35,3 persons,I do not know,"Fewer than 5,000 inhabitants","Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",11,22,Every day,No,Randomly selected or played by chance,,Other (please specify),Un po di tutto,"Radio (FM, AM or internet radio) or TV",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Street food vendors and food trucks,,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Themed restaurants,Camping grounds, recreational vehicle parks, and trailer parks",,Owner / Partner,Yes,3–5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,Yes,Maximum capacity in number of persons,120,,,,10-20 persons,"€500,000 – €1 million","100,001 to 500,000 inhabitants","Monday,Tuesday,Wednesday,Friday,Saturday,Sunday","Opening time,Closing time",5,23,Most days,No,Carefully curated or planned to match the atmosphere and customer experience,,"Hip-Hop / Rap,Dance / Electronic,Latin,R&B",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.),Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.)",,Yes,Yes,1-2 times per year,Classical ensembles,,"Hip-Hop / Rap,Dance / Electronic,Latin,R&B",,51–100 people,,Stayed the same,,,,,,,,,,,Free for the guests,,,,Increases slightly,Enhancing customer experience,,Increased food and beverage sales,,Unpredictable revenue,,,,,,,,,
IT,Self-employed,Travel / Tourism / Hospitality,Holiday and other short-stay accommodation,,Owner / Partner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Fast food and quick-service restaurants,,Middle Management (Director / Divisional / Department Head),Yes,3–5 years,"Low autonomy (Commis Chef, Dishwasher, Housekeeper)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)",,,No,Number of tables,,10,,,5-10 persons,€1 million – €5 million,"More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",10,22,Every day,No,Chosen from the person on duty,,Latin,,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Armed Services /Defense / Military Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Armed Services /Defense / Military Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Other:,Museo,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),"Banking / Financial Services/ Insurance/ Business Services (Staffing, Printing) / Consulting / PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),"Banking / Financial Services/ Insurance/ Business Services (Staffing, Printing) / Consulting / PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Bars, pubs, and cocktail lounges",,Middle Management (Director / Divisional / Department Head),Yes,More than 5 years,,,,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,No,Squared meters,,,,,5-10 persons,"€250,000 – €500,000","More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday","Opening time,Closing time",6.3,20.3,Every day,No,A mix of both,,Pop,,"Radio (FM, AM or internet radio) or TV",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Coffee shops and tea houses,,Experienced: Professional or Non-Management,Yes,More than 5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,Yes,Number of tables,,5,,,1 person,"Less than €100,000","5,000 to 20,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",07:00,13:00,Every day,Yes,Other (please specify),Classica stazione radio,"Pop,Rock,Hip-Hop / Rap,R&B,Country",,"Radio (FM, AM or internet radio) or TV",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Full-service restaurants,,Experienced: Professional or Non-Management,Yes,More than 5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,Yes,Maximum capacity in number of persons,700,,,,10-20 persons,€1 million – €5 million,"Fewer than 5,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",10,1,Every day,No,Chosen from the person on duty,,"Pop,Dance / Electronic",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,Yes,Yes,3-4 times a week,Other (please specify),Musica con cantante che viene pagata dai tour operaror che offrono un servizio di cena poi serata danzante. Poi occasionalmente matrimoni o cerimonie ,Pop,,Over 200 people (please specify),700,Stayed the same,,,,,,,,,,,Other (specify),Pagato dalle agenzie turistiche ,,,No change,Other (specify),"Richiesta dell' agenzia, non influisce sul lavoro alla carta, è un servizio di cui faremmo a meno se non dovesse essere incluso nelle cene dei tour ",Other (specify),Senza musica alcuni tour non verrebbero ,Other (please specify),Ai clienti privati la musica può dare fastidio ,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Middle Management (Director / Divisional / Department Head),Yes,6 months to 1 year,,,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,,No,Number of rooms,,,197,,10-20 persons,I do not know,"20,001 to 100,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",00:00,24:00:00,Every day,Yes,A mix of both,,"Classical / Opera,Jazz,Other (please specify)",Chill out/ Ambient,"Purchased music (CDs, digital downloads, etc.)",,I’m not sure,Yes,1-2 times per year,"Solo artists,Bands,Classical ensembles",,"Classical / Opera,Jazz",,Over 200 people (please specify),,Stayed the same,,,,,,,,,,,Free for the guests,,,,No change,Utilizing venue space,,Increased food and beverage sales,,High artist fees,,,,,,,,,
IT,Part-time,Food / Beverage / Restaurant,"Hotels and similar accommodation,Bars, pubs, and cocktail lounges,Resort and destination dining",,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Part-time,Travel / Tourism / Hospitality,Holiday and other short-stay accommodation,,Owner / Partner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Part-time,Agriculture / Fishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Civil Service / Local Government / Government/ Social Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Full-service restaurants,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Part-time,Agriculture / Fishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Petroleum / Petrochemicals/ Pharmaceutical / Chemical/ Plastics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Fast food and quick-service restaurants,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Other:,,Middle Management (Director / Divisional / Department Head),Yes,More than 5 years,,,,,,,No,Squared meters,,,,3000,10-20 persons,€1 million – €5 million,"100,001 to 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",07:00,21,Most days,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"R&B,Classical / Opera,Jazz",,"Radio (FM, AM or internet radio) or TV",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Property / Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Self-employed,Food / Beverage / Restaurant,"Bars, pubs, and cocktail lounges",,Owner / Partner,Yes,More than 5 years,,,,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,No,Maximum capacity in number of persons,30,,,,1 person,"Less than €100,000","Fewer than 5,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",07:00,24:00:00,Every day,Yes,A mix of both,,"Pop,Latin,R&B,Folk",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.),Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.)",,Yes,Yes,1-2 times a month,"Solo artists,Bands,Classical ensembles",,"Pop,Rock,Dance / Electronic,Latin",,Up to 50 people,,Stayed the same,,,,,,,,,,,Free for the guests,,,,Increases slightly,Attracting new customers,,Increased food and beverage sales,,"Unpredictable revenue,Licensing and regulation costs,Difficulty attracting audiences,Equipment and venue space limitations",,,,,,,,,
IT,"Contract, Freelance or Temporary Employee",Food / Beverage / Restaurant,Full-service restaurants,,Experienced: Professional or Non-Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Self-employed,"Banking / Financial Services/ Insurance/ Business Services (Staffing, Printing) / Consulting / PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Self-employed,Food / Beverage / Restaurant,"Fast food and quick-service restaurants,Bars, pubs, and cocktail lounges,Coffee shops and tea houses",,Owner / Partner,Yes,More than 5 years,"Low autonomy (Commis Chef, Dishwasher, Housekeeper)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,Yes,Maximum capacity in number of persons,15,,,,1 person,"Less than €100,000","Fewer than 5,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday","Opening time,Closing time",6,20,Every day,No,Other (please specify),radio,"Pop,Latin,R&B",,"Radio (FM, AM or internet radio) or TV",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Fast food and quick-service restaurants",,Middle Management (Director / Divisional / Department Head),Yes,6 months to 1 year,,,,,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,No,Maximum capacity in number of persons,100,,,,Above 20 persons,€5 million – €15 million,"More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",12,24,Every day,No,Carefully curated or planned to match the atmosphere and customer experience,,"Pop,Rock,R&B,Jazz",,"Radio (FM, AM or internet radio) or TV",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Experienced: Professional or Non-Management,Yes,1–3 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,Yes,Number of rooms,,,50,,5-10 persons,"€250,000 – €500,000","100,001 to 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",7,10,Every day,No,Carefully curated or planned to match the atmosphere and customer experience,,"Pop,Dance / Electronic",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,I’m not sure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Full-time (30 or more hours per week),Entertainment / Leisure / Recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Part-time,Food / Beverage / Restaurant,Nightclubs and entertainment venues,,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Self-employed,Food / Beverage / Restaurant,Full-service restaurants,,Front Line Management,Yes,3–5 years,,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,,,No,Maximum capacity in number of persons,60,,,,10-20 persons,€1 million – €5 million,"More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",13,23,Most days,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"Pop,Latin",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,Yes,Yes,1-2 times a week,"Solo artists,Bands,Classical ensembles",,"Pop,Latin,Classical / Opera,Jazz",,51–100 people,,Stayed the same,,,,,,,,,,,Free for the guests,,,,Increases significantly,Increasing revenue,,Increased food and beverage sales,,"High artist fees,Unpredictable revenue",,,,,,,,,
PL,Full-time (30 or more hours per week),Armed Services /Defense / Military Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Part-time,Food / Beverage / Restaurant,"Camping grounds, recreational vehicle parks, and trailer parks",,Middle Management (Director / Divisional / Department Head),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,,Experienced: Professional or Non-Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Part-time,Travel / Tourism / Hospitality,Other:,Transportwesen,Experienced: Professional or Non-Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time,Advertising / Telesales / Telemarketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Themed restaurants,,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Manufacturing / automotive / Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Catering for corporate events, weddings, and parties,Themed restaurants",,Front Line Management,Yes,3–5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,No,Maximum capacity in number of persons,150,,,,10-20 persons,€5 million – €15 million,"100,001 to 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",10:00,02:00,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"Classical / Opera,Jazz",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,Yes,Yes,3-4 times a month,"Solo artists,Classical ensembles",,"Pop,Classical / Opera,Jazz,Folk",,151–200 people,,Increased,,Increased by 0% to 25%,,,,,,,,,Free for the guests,,,,Increases significantly,Community engagement,,"Increased food and beverage sales,Merchandise sales",,"High artist fees,High costs beside artists fees",,,,,,,,,
PL,Part-time,Food / Beverage / Restaurant,Fast food and quick-service restaurants,,Experienced: Professional or Non-Management,Yes,6 months to 1 year,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,No,Maximum capacity in number of persons,,,,,4 persons,€1 million – €5 million,"More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",8,23,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,Pop,,"Radio (FM, AM or internet radio) or TV",,I’m not sure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Full-service restaurants,,Experienced: Professional or Non-Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Bars, pubs, and cocktail lounges",,Experienced: Professional or Non-Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Fast food and quick-service restaurants,,Front Line Management,Yes,6 months to 1 year,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,Yes,Maximum capacity in number of persons,,,,,5 persons,"€500,000 – €1 million","100,001 to 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",,,Every day,Yes,Randomly selected or played by chance,,"Pop,Rock,Hip-Hop / Rap,Dance / Electronic,Latin,R&B,Country,Jazz,Folk,Experimental",,"Radio (FM, AM or internet radio) or TV",,Yes,Yes,1-2 times a month,Jam sessions,,Hip-Hop / Rap,,101–150 people,,Decreased,Decreased by 25% to 50%,,6,1,3,4,2,5,7,,Free for the guests,,,,Increases slightly,Enhancing customer experience,,Increased food and beverage sales,,"Licensing and regulation costs,Difficulty attracting audiences",,,,,,,,,
